ref,order,menuKey,name,inci,descriptionFragment,notes,catalogStatus,category,origin,sap,sap_koh,iodine,ins,flags.citricAcid,waterPercent,botanical.botanicalName,botanical.plantPart,botanical.physicalForm,botanical.notes,properties.conditioning,properties.cleansing,properties.bubbles,properties.persistence,properties.hardness,properties.solubility,properties.drying,fattyAcids.lauric,fattyAcids.myristic,fattyAcids.palmitic,fattyAcids.stearic,fattyAcids.oleic,fattyAcids.linoleic,fattyAcids.linolenic,fattyAcids.ricinoleic,fattyAcids.gadoleic,fattyAcids.other
27,1,traceAdditives,Argila branca (Kaolin),Kaolin Clay,Argila branca para adicionar ao traço,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,traceAdditives,Aveia em pó,Oat Powder,Aveia em pó para propriedades hidratantes,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3,traceAdditives,Zeólite,Zeolite,Zeólite para propriedades purificadoras,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4,traceAdditives,Açafrão-das-Índias,Annatto Powder,Açafrão-das-Índias para cor natural,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,5,traceAdditives,Canela em pó,Cinnamon Powder,Canela em pó para aroma e propriedades antibacterianas,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,6,traceAdditives,Cravinho em pó,Clove Powder,Cravinho em pó para aroma e propriedades conservantes,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,7,traceAdditives,Piri-piri moído,Malagueta Powder,Piri-piri moído para aroma picante e estimulante,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,8,traceAdditives,Lavanda (Seca),Dried Lavender,Lavanda seca para aroma relaxante,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,9,traceAdditives,Rosa branca (Pétalas/Pó),White Rose Petals/Powder,Rosa branca em pétalas ou pó para aroma floral,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,10,traceAdditives,Rosa vermelha (Pétalas/Pó),Red Rose Petals/Powder,Rosa vermelha em pétalas ou pó para cor e aroma,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,11,traceAdditives,Jasmim (Pó),Jasmine Powder,Jasmim em pó para aroma floral exótico,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,12,traceAdditives,Casca de laranja desidratada (Pó),Dried Orange Peel Powder,Casca de laranja em pó para aroma cítrico e cor,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,13,traceAdditives,Malvas (Secas),Dried Mallows,Malvas secas para propriedades emolientes,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
40,14,traceAdditives,Camomila (Seca),Dried Chamomile,Camomila seca para propriedades calmantes,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
41,15,traceAdditives,Hibisco (Seco),Dried Hibiscus,Hibisco seco para cor e propriedades antioxidantes,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
42,16,traceAdditives,Cavalinha (Seca),Dried Horsetail,Cavalinha seca para propriedades anti-inflamatórias,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,17,traceAdditives,Tília (Seca),Dried Linden,Tília seca para propriedades calmantes,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,18,traceAdditives,Cidreira (Seca),Dried Apple Blossom,Cidreira seca para propriedades tonificantes,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
45,19,traceAdditives,Carqueja (Seca),Dried Oak,Carqueja seca para propriedades adstringentes,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
46,20,traceAdditives,Flor de sabugueiro (Seca),Dried Elderflower,Flor de sabugueiro seca para aroma floral,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
47,21,traceAdditives,Vitamina D,Cholecalciferol,Vitamina D para nutrição cutânea,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
69,22,traceAdditives,Cúrcuma (Pó),Curcuma Longa Root Powder,Cúrcuma em pó para cor natural e propriedades antioxidantes,,cataloged,Aditivos Traço,system,0,0,0,0,0,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1,essentialOils,Lavanda,Lavender Essential Oil,Óleo essencial de lavanda para aroma relaxante,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2,essentialOils,Camomila,Chamomile Essential Oil,Óleo essencial de camomila para aroma calmante,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3,essentialOils,Rosa,Rose Essential Oil,Óleo essencial de rosa para aroma floral,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4,essentialOils,Jasmim,Jasmine Essential Oil,Óleo essencial de jasmim para aroma floral exótico,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
51,5,essentialOils,Sakura,Sakura Essential Oil,Óleo essencial de sakura para aroma floral delicado,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
52,6,essentialOils,Gerânio,Geranium Essential Oil,Óleo essencial de gerânio para aroma floral herbáceo,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
53,7,essentialOils,Tea tree,Tea Tree Essential Oil,Óleo essencial de tea tree para propriedades antissépticas,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
54,8,essentialOils,Limão,Lemon Essential Oil,Óleo essencial de limão para aroma cítrico,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
55,9,essentialOils,Alecrim,Rosemary Essential Oil,Óleo essencial de alecrim para aroma herbáceo,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
56,10,essentialOils,Hortelã-pimenta,Peppermint Essential Oil,Óleo essencial de hortelã-pimenta para aroma refrescante,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
57,11,essentialOils,Capim-limão,Lemongrass Essential Oil,Óleo essencial de capim-limão para aroma cítrico,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
58,12,essentialOils,Laranja doce,Sweet Orange Essential Oil,Óleo essencial de laranja doce para aroma cítrico doce,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
59,13,essentialOils,Toranja,Grapefruit Essential Oil,Óleo essencial de toranja para aroma cítrico,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
60,14,essentialOils,Sálvia,Sage Essential Oil,Óleo essencial de sálvia para aroma herbáceo,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
61,15,essentialOils,Patchouli,Patchouli Essential Oil,Óleo essencial de patchouli para aroma terroso,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
62,16,essentialOils,Olíbano,Boswellia Serrata Oil,Óleo essencial de olíbano para aroma herbáceo intenso,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
63,17,essentialOils,Sândalo,Sandalwood Essential Oil,Óleo essencial de sândalo para aroma madeirado,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
64,18,essentialOils,Cravinho,Clove Essential Oil,Óleo essencial de cravinho para aroma picante,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
65,19,essentialOils,Canela,Cinnamon Essential Oil,Óleo essencial de canela para aroma quente,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
66,20,essentialOils,Baunilha,Vanilla Essential Oil,Óleo essencial de baunilha para aroma doce,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
67,21,essentialOils,Ylang-ylang,Ylang-Ylang Essential Oil,Óleo essencial de ylang-ylang para aroma floral exótico,,cataloged,Óleos Essenciais,system,0,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
